Hoedt,SOU,DEF,1170,0,0,4,2.2,29,3,4.2,-0.3,0.2
Hogg,HUD,MID,2369,0,1,5,1.9,54,3,4.4,-0.1,0.2
Hoilett,CAR,MID,2134,3,2,6,2.6,82,4,5,-0.5,0.1
Holding,ARS,DEF,806,0,0,1,2.4,24,5,4.3,-0.2,0.4
Holebas,WAT,DEF,2392,3,7,5,3.3,93,10,4.8,0.3,7.9
Holgate,EVE,DEF,407,0,0,0,1,5,0,4.3,-0.2,0.1
Holland,WHU,MID,0,0,0,0,0,0,0,4,0,0.5
Hudson-Odoi,CHE,MID,388,0,1,2,1.8,18,1,4.2,-0.3,2.2
Hughes,WAT,MID,2419,2,4,7,2.7,87,5,4.9,-0.1,0.7
Hugill,WHU,FWD,0,0,0,0,0,0,0,5,0,0
Hyndman,BOU,MID,37,0,0,0,1,1,0,4.4,-0.1,0
H�jbjerg,SOU,MID,2760,4,3,4,2.9,90,8,4.4,-0.1,3.2
Ibe,BOU,MID,789,1,1,1,1.7,33,0,4.9,-0.6,0.2
Iborra,LEI,MID,224,0,0,0,1.1,9,0,4.7,-0.3,0
Iheanacho,LEI,FWD,924,1,5,1,1.9,58,3,5.7,-0.3,0.8
Ince,HUD,MID,0,0,0,0,0,0,0,5,0,0
Ings,SOU,FWD,1650,7,3,5,3.8,90,11,5.4,-0.1,3.2
Iwobi,ARS,MID,1961,3,8,4,2.8,99,3,5.4,-0.1,1.5
Izquierdo,BHA,MID,789,0,2,3,2.1,31,0,5.9,-0.1,0.1
Jach,CRY,DEF,0,0,0,0,0,0,0,4,0,0
Jagielka,EVE,DEF,329,1,0,2,3.1,22,3,4.3,-0.2,0.6
Jahanbakhsh,BHA,MID,1014,0,0,5,1.7,33,0,6.7,-0.3,0.6
Jakupovic,LEI,GKP,0,0,0,0,0,0,0,4.3,-0.2,0.1
James,LEI,MID,0,0,0,0,0,0,0,4.4,-0.1,0
Janmaat,WAT,DEF,1520,0,2,3,2.8,50,6,4.9,-0.1,0.4
Janssen,TOT,FWD,36,0,0,0,1,3,0,4.5,0,0.1
Jazz Richards,CAR,DEF,129,0,0,0,0.5,2,0,3.9,-0.1,0.5
Jenkinson,ARS,DEF,165,0,0,0,1.3,4,0,4.5,0,0
Jesus,MCI,FWD,1017,7,3,2,2.7,79,7,9.9,-0.6,1.6
Jim�nez,WOL,FWD,3112,13,10,12,4.8,181,31,6.9,1.4,33.4
Johansen,FUL,MID,409,0,0,0,0.9,11,0,5,-0.5,0
John,WOL,DEF,0,0,0,0,0,0,0,4,0,0.1
