name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
João Pedro,WAT,FWD,5,Doubtful,0,0,0,0,0
Pussetto,WAT,MID,5,Available,16,2,0,1,0
Cresswell,WHU,DEF,4.7,Available,1573,57,5,3.2,1.5
Ogbonna,WHU,DEF,4.5,Available,1710,61,0,3.2,1.6
Masuaku,WHU,DEF,4.2,Available,802,25,3,1.9,0.5
Zabaleta,WHU,DEF,4.2,Available,558,9,0,1,0.5
Fredericks,WHU,DEF,4.4,Injured,1537,55,5,3.1,0.4
Diop,WHU,DEF,4.4,Available,1505,36,2,2,2.1
Balbuena,WHU,DEF,4.3,Available,1081,36,3,2.8,0.5
Reid,WHU,DEF,3.9,Available,0,0,0,0,5.1
Johnson,WHU,DEF,3.9,Available,0,0,0,0,1.5
Arnautovic,WHU,FWD,7,NotAvail,0,0,0,0,0.1
Chicharito,WHU,FWD,6,NotAvail,106,9,2,4.5,0.4
Xande Silva,WHU,FWD,4.3,Injured,0,0,0,0,0.9
Fabianski,WHU,GKP,4.9,Available,857,49,5,4.5,2.1
Antonio,WHU,MID,6.9,Doubtful,595,27,0,2.7,0.7
Felipe Anderson,WHU,MID,6.6,Injured,1337,57,1,3,2.7
Lanzini,WHU,MID,6.2,Available,1177,44,3,2.4,0.8
Yarmolenko,WHU,MID,5.3,Injured,822,49,8,3.3,0.8
Snodgrass,WHU,MID,5.2,Available,1245,60,5,3.2,1.1
Wilshere,WHU,MID,4.7,Injured,174,6,0,1,0.2
Rice,WHU,MID,4.7,Available,2160,54,1,2.2,1.6
Noble,WHU,MID,5,Available,1699,75,6,3.6,2.1
Carlos Sánchez,WHU,MID,4.3,Available,112,7,0,1.2,0.5
Diangana,WHU,MID,4.4,NotAvail,0,0,0,0,0.1
Fornals,WHU,MID,6,Available,1233,54,3,2.3,0.4
Obiang,WHU,MID,4.5,NotAvail,0,0,0,0,0
Roberto,WHU,GKP,4.4,NotAvail,686,18,1,2.2,0.4
Haller,WHU,FWD,7,Available,1849,83,8,3.6,3.1
Ajeti,WHU,FWD,5.7,Available,128,8,0,1,0
Martin,WHU,GKP,4.1,Available,435,20,2,4,1.8
Holland,WHU,MID,4.4,NotAvail,31,2,0,1,0
Anang,WHU,GKP,4,Available,0,0,0,0,0.1
Ngakia,WHU,DEF,4,Available,90,1,0,1,0
Cardoso,WHU,DEF,4,Available,0,0,0,0,0
Rosa,WHU,MID,4.5,Available,0,0,0,0,0
Randolph,WHU,GKP,4.5,Available,180,3,0,1.5,0.2
Doherty,WOL,DEF,6.1,Available,1697,77,6,3.5,4.2
Jonny,WOL,DEF,5.4,Available,1934,56,0,2.4,1
Coady,WOL,DEF,5,Available,2160,55,2,2.3,1.5
Bennett,WOL,DEF,4.8,Available,603,21,0,1.9,0.3
Boly,WOL,DEF,4.7,Available,720,34,7,4.2,1.9
Vinagre,WOL,DEF,4.2,Injured,338,15,0,1.5,0.2
Saïss,WOL,DEF,4.4,Available,1533,41,1,2,0.7
Kilman,WOL,DEF,4,Available,184,5,0,1.7,2.1
Jiménez,WOL,FWD,7.6,Available,2027,129,22,5.4,21.4
Jota,WOL,FWD,6.1,Available,1398,54,6,2.7,2.6
Patrício,WOL,GKP,5.1,Available,2160,83,4,3.5,9.1
Ruddy,WOL,GKP,4.3,Available,0,0,0,0,0.4
Norris,WOL,GKP,4,NotAvail,0,0,0,0,0.6
Neves,WOL,MID,5.2,Available,1862,59,4,2.5,4.5
Moutinho,WOL,MID,5.4,Available,2065,83,11,3.5,5.3
Gibbs-White,WOL,MID,4.7,Available,122,8,0,2,0.1
Traoré,WOL,MID,5.8,Available,1850,100,14,4.3,19.6
Costa,WOL,MID,4.9,NotAvail,0,0,0,0,0
Cavaleiro,WOL,MID,4.9,NotAvail,0,0,0,0,0
Dendoncker,WOL,MID,4.4,Available,1997,61,6,2.5,10
Vallejo,WOL,DEF,4.6,NotAvail,162,1,0,0.5,0.2
Cutrone,WOL,FWD,5.5,NotAvail,292,23,0,1.9,0.5
Neto,WOL,MID,5,Available,597,36,0,2.1,0.2
Ashley-Seal,WOL,FWD,4.5,Available,0,0,0,0,0.1
Perry,WOL,MID,4.5,Available,0,0,0,0,0
Otasowie,WOL,MID,4.5,Available,0,0,0,0,0
Cundle,WOL,MID,4.5,Available,0,0,0,0,0
Buur,WOL,DEF,4,Available,0,0,0,0,0
Giles,WOL,DEF,4,Available,0,0,0,0,0
Jordao,WOL,MID,4.5,Available,0,0,0,0,0
